PRO;CON;CP;PROVINCIA;CONCELLO;PARROQUIA;POBOACION
15;1;1;A CORUÑA;ABEGONDO;ABEGONDO (SANTAIA);646
15;1;2;A CORUÑA;ABEGONDO;CABANAS (SAN XIÁN);140
15;1;3;A CORUÑA;ABEGONDO;CERNEDA (SAN SALVADOR);91
15;1;4;A CORUÑA;ABEGONDO;COS (SANTO ESTEVO);118
15;1;5;A CORUÑA;ABEGONDO;CRENDES (SAN PEDRO);643
15;1;6;A CORUÑA;ABEGONDO;CULLERGONDO (SANTA MARÍA);168
15;1;7;A CORUÑA;ABEGONDO;FIGUEROA (SAN MIGUEL);213
15;1;8;A CORUÑA;ABEGONDO;FOLGOSO (SANTA DOROTEA);127
15;1;9;A CORUÑA;ABEGONDO;LEIRO (SANTAIA);232
15;1;10;A CORUÑA;ABEGONDO;LIMIÑÓN (SAN SALVADOR);177
15;1;11;A CORUÑA;ABEGONDO;MABEGONDO (SAN TIRSO);951
15;1;12;A CORUÑA;ABEGONDO;MEANGOS (SANTIAGO);195
15;1;13;A CORUÑA;ABEGONDO;MONTOUTO (SANTA CRISTINA);396
15;1;14;A CORUÑA;ABEGONDO;ORTO (SAN MARTIÑO);221
15;1;15;A CORUÑA;ABEGONDO;PRESEDO (SANTA MARÍA);135
15;1;16;A CORUÑA;ABEGONDO;SARANDÓS (SANTA MARÍA);618
15;1;17;A CORUÑA;ABEGONDO;VILACOVA (SAN TOMÉ);168
15;1;18;A CORUÑA;ABEGONDO;VIÓS (SAN SALVADOR);245
15;1;19;A CORUÑA;ABEGONDO;VIZOÑO (SAN PEDRO);245
15;2;1;A CORUÑA;AMES;AGRÓN (SAN LOURENZO);522
15;2;2;A CORUÑA;AMES;AMEIXENDA (SANTA MARÍA);382
15;2;3;A CORUÑA;AMES;AMES (SAN TOMÉ);1.434
15;2;4;A CORUÑA;AMES;BIDUÍDO (SANTA MARÍA);8.382
15;2;5;A CORUÑA;AMES;BUGALLIDO (SAN PEDRO);1.359
15;2;6;A CORUÑA;AMES;COVAS (SANTO ESTEVO);683
15;2;7;A CORUÑA;AMES;LENS (SAN PAIO);98
15;2;8;A CORUÑA;AMES;ORTOÑO (SAN XOÁN);5.030
15;2;9;A CORUÑA;AMES;PIÑEIRO (SAN MAMEDE);289
15;2;10;A CORUÑA;AMES;TAPIA (SAN CRISTOVO);145
15;2;11;A CORUÑA;AMES;TRASMONTE (SANTA MARÍA);458
15;3;1;A CORUÑA;ARANGA;ARANGA (SAN PAIO);589
15;3;2;A CORUÑA;ARANGA;CAMBÁS (SAN PEDRO);458
15;3;3;A CORUÑA;ARANGA;FEÁS (SAN PEDRO);124
15;3;4;A CORUÑA;ARANGA;SAN VICENTE DE FERVENZAS (SAN VICENTE);276
15;3;5;A CORUÑA;ARANGA;MUNIFERRAL (SAN CRISTOVO);351
15;3;6;A CORUÑA;ARANGA;VILARRASO (SAN LOURENZO);516
15;4;1;A CORUÑA;ARES;ARES (SAN XOSÉ);3.669
15;4;2;A CORUÑA;ARES;CAAMOUCO (SAN VICENTE);716
15;4;3;A CORUÑA;ARES;CERVÁS (SAN PEDRO);618
15;5;1;A CORUÑA;ARTEIXO;ARMENTÓN (SAN PEDRO);428
15;5;2;A CORUÑA;ARTEIXO;ARTEIXO (SANTIAGO);7.916
15;5;3;A CORUÑA;ARTEIXO;BARRAÑÁN (SAN XIÁN);296
15;5;4;A CORUÑA;ARTEIXO;CHAMÍN (SANTAIA);463
15;5;5;A CORUÑA;ARTEIXO;LAÑAS (SANTA MARIÑA);444
15;5;6;A CORUÑA;ARTEIXO;LARÍN (SANTO ESTEVO);589
15;5;7;A CORUÑA;ARTEIXO;LOUREDA (SANTA MARÍA);1.275
15;5;8;A CORUÑA;ARTEIXO;MONTEAGUDO (SAN TOMÉ);399
15;5;9;A CORUÑA;ARTEIXO;MORÁS (SANTO ESTEVO);1.014
15;5;10;A CORUÑA;ARTEIXO;OSEIRO (SAN TIRSO);4.141
15;5;11;A CORUÑA;ARTEIXO;PASTORIZA (SANTA MARÍA);5.578
15;5;12;A CORUÑA;ARTEIXO;SORRIZO (SAN PEDRO);218
15;5;13;A CORUÑA;ARTEIXO;SUEVOS (SAN MARTIÑO);545
15;6;1;A CORUÑA;ARZÚA;SANTA MARÍA DE ARZÚA (SANTA MARÍA);320
15;6;2;A CORUÑA;ARZÚA;ARZÚA (SANTIAGO);2.412
15;6;3;A CORUÑA;ARZÚA;BOENTE (SANTIAGO);168
15;6;4;A CORUÑA;ARZÚA;BRANDESO (SAN LOURENZO);146
15;6;5;A CORUÑA;ARZÚA;BRANZÁ (SANTA LOCAIA);184
15;6;6;A CORUÑA;ARZÚA;BURRES (SAN VICENZO);483
15;6;7;A CORUÑA;ARZÚA;SAN MARTIÑO DE CALVOS DE SOBRECAMIÑO (SAN MARTIÑO);219
15;6;8;A CORUÑA;ARZÚA;CAMPO (SANTO ESTEVO);117
15;6;9;A CORUÑA;ARZÚA;A CASTAÑEDA (SANTA MARÍA);172
15;6;10;A CORUÑA;ARZÚA;DODRO (SANTA MARÍA);102
15;6;11;A CORUÑA;ARZÚA;DOMBODÁN (SAN CRISTOVO);338
15;6;12;A CORUÑA;ARZÚA;FIGUEIROA (SAN PAIO);72
15;6;13;A CORUÑA;ARZÚA;LEMA (SAN PEDRO);214
15;6;14;A CORUÑA;ARZÚA;MAROXO (SANTA MARÍA);107
