"continent","year","week","totalcases","incidence"
"America",2020,44,1004406,983.0698809063466
"America",2021,13,1227623,1201.545188308206
"America",2020,43,933633,913.8002780949488
"America",2021,12,1420251,1390.081283292931
"America",2020,46,1525762,1493.3509632871858
"America",2021,15,1428528,1398.1824589173914
"America",2020,45,1146061,1121.7157710939684
"America",2021,14,1627511,1592.9385576587247
"America",2020,40,743826,728.025257948523
"America",2021,9,1111981,1088.3597163299703
"America",2020,39,777208,760.6981399946434
"America",2021,8,1080181,1057.2352286100424
"America",2020,42,790928,774.126692558084
"America",2021,11,1160132,1135.487867531299
"America",2020,41,800395,783.3925895783531
"America",2021,10,1258566,1231.8308808716565
"America",2020,52,1846715,1807.4861113115253
"America",2021,21,1191961,1166.6407392180151
"America",2020,51,2324638,2275.256820260301
"America",2021,20,1267357,1240.4351378385084
"America",2021,23,1149714,1125.2911721518583
"America",2020,53,2070018,2026.045591856275
"America",2021,22,1204900,1179.3048821931143
"America",2020,48,1669229,1633.7703620203583
"America",2021,17,1241061,1214.6977312635643
"America",2020,47,1664278,1628.9245337593093
"America",2021,16,1437931,1407.3857154592306
"America",2020,50,2096343,2051.811382398008
"America",2021,19,1125942,1102.024149444999
"America",2020,49,1964448,1922.7181651709675
"America",2021,18,1232139,1205.965257067426
"America",2020,28,872580,854.0441979451138
"America",2020,27,780273,763.6980316569573
"America",2020,30,1031343,1009.4346710230666
"America",2020,29,930366,910.6026774225901
"America",2020,24,483501,473.2302181469441
"America",2020,23,466168,456.26541482463244
"America",2020,26,697218,682.4073295318439
"America",2020,25,596216,583.5508669944807
"America",2020,36,825339,807.8067160464625
"America",2021,5,1347319,1318.6985430919947
"America",2020,35,843399,825.4830760534404
"America",2021,4,1800194,1761.953334795212
"America",2020,38,766221,749.9445316116609
"America",2021,7,1098154,1074.8264367166546
"America",2020,37,711229,696.120700520646
"America",2021,6,1309731,1281.9090071040498
"America",2020,32,960795,940.3852886436493
"America",2021,1,2698701,2641.3737778068216
"America",2020,31,1015736,994.1592031034153
"America",2020,34,851689,833.5969755250819
"America",2021,3,2205870,2159.0117524137477
"America",2020,33,967589,947.0349669319887
"America",2021,2,2409445,2358.2623054824367
"America",2021,45,950582,930.3892385466801
"America",2022,14,649262,635.4700360382319
"America",2021,44,710951,695.8486059424655
"America",2022,13,516830,505.8512260468646
"America",2021,47,531919,520.6196975942229
"America",2022,16,626974,613.6554894249693
"America",2021,46,858781,840.5383235411111
"America",2022,15,444719,435.2720457332887
