country;year;week;weeklycount
China;2020;1;59
Denmark;2020;2;12
China;2020;3;176
China;2020;4;2540
China;2020;5;14436
China;2020;6;22995
China;2020;7;30412
China;2020;8;6616
South Korea;2020;9;3450
Italy;2020;10;8241
Italy;2020;11;21095
Italy;2020;12;36642
United States Of America;2020;13;107819
United States Of America;2020;14;194610
United States Of America;2020;15;219936
United States Of America;2020;16;202116
United States Of America;2020;17;206223
United States Of America;2020;18;192131
United States Of America;2020;19;171758
United States Of America;2020;20;156958
United States Of America;2020;21;156481
Brazil;2020;22;151638
Brazil;2020;23;176909
Brazil;2020;24;175866
Brazil;2020;25;217414
United States Of America;2020;26;268084
United States Of America;2020;27;339639
United States Of America;2020;28;416307
United States Of America;2020;29;468318
United States Of America;2020;30;460760
United States Of America;2020;31;433935
India;2020;32;411379
India;2020;33;432589
India;2020;34;458685
India;2020;35;514897
India;2020;36;583368
India;2020;37;641814
India;2020;38;641153
India;2020;39;587122
India;2020;40;549113
India;2020;41;496723
India;2020;42;429735
United States Of America;2020;43;481570
United States Of America;2020;44;571197
United States Of America;2020;45;764289
United States Of America;2020;46;1065410
United States Of America;2020;47;1209848
United States Of America;2020;48;1136412
United States Of America;2020;49;1373677
United States Of America;2020;50;1499756
United States Of America;2020;51;1588085
United States Of America;2020;52;1306812
United States Of America;2020;53;1488563
United States Of America;2021;1;1782792
United States Of America;2021;2;1515282
United States Of America;2021;3;1358783
United States Of America;2021;4;1024054
United States Of America;2021;5;687440
United States Of America;2021;6;685603
United States Of America;2021;7;495991
United States Of America;2021;8;415502
Brazil;2021;9;464664
United States Of America;2021;10;506660
Brazil;2021;11;527917
Brazil;2021;12;526089
India;2021;13;549423
India;2021;14;938650
India;2021;15;1534202
India;2021;16;2056121
India;2021;17;2807564
India;2021;18;2736971
India;2021;19;2302888
India;2021;20;1786984
India;2021;21;1295087
India;2021;22;862441
India;2021;23;600435
Brazil;2021;24;508962
Brazil;2021;25;498870
Brazil;2021;26;349210
Brazil;2021;27;337163
Indonesia;2021;28;350273
United States Of America;2021;29;332523
United States Of America;2021;30;559822
United States Of America;2021;31;760508
United States Of America;2021;32;916459
United States Of America;2021;33;1029600
United States Of America;2021;34;1346506
United States Of America;2021;35;888479
United States Of America;2021;36;1009116
United States Of America;2021;37;1332502
United States Of America;2021;38;643648
United States Of America;2021;39;751638
United States Of America;2021;40;656782
United States Of America;2021;41;669160
United States Of America;2021;42;435826
United States Of America;2021;43;526065
United States Of America;2021;44;517536
United States Of America;2021;45;733230
United States Of America;2021;46;669186
Germany;2021;47;403340
United States Of America;2021;48;850637
United States Of America;2021;49;836022
United States Of America;2021;50;925536
United Kingdom;2021;51;923450
France;2021;52;1151117
United States Of America;2022;1;4407149
United States Of America;2022;2;6178670
United States Of America;2022;3;4031017
United States Of America;2022;4;5207803
France;2022;5;1772483
Germany;2022;6;1310164
Russia;2022;7;1389247
Germany;2022;8;1092959
South Korea;2022;9;1532521
South Korea;2022;10;2199245
South Korea;2022;11;2716593
South Korea;2022;12;2767613
South Korea;2022;13;1650978
South Korea;2022;14;1423192
South Korea;2022;15;928897
Germany;2022;16;731426
Germany;2022;17;595844
United States Of America;2022;18;486064
United States Of America;2022;19;749895
United States Of America;2022;20;677092
United States Of America;2022;21;721696
United States Of America;2022;22;784225
United States Of America;2022;23;719347
Cyprus;2022;24;8847
