"Instante_lectura","Irradiacion_global_diaria"
2006-01-01,477
2006-01-02,195
2006-01-03,725
2006-01-04,870
2006-01-05,392
2006-01-06,679
2006-01-07,360
2006-01-08,783
2006-01-09,854
2006-01-10,929
2006-01-11,673
2006-01-13,121
2006-01-14,859
2006-01-15,326
2006-01-16,236
2006-01-17,107
2006-01-18,577
2006-01-19,992
2006-01-20,556
2006-01-21,851
2006-01-22,990
2006-01-23,1008
2006-01-24,873
2006-01-25,583
2006-01-26,912
2006-01-27,1082
2006-01-29,1087
2006-01-30,1213
2006-01-31,1220
2006-02-01,963
2006-02-02,847
2006-02-03,1167
2006-02-04,1239
2006-02-05,1265
2006-02-08,1166
2006-02-09,1323
2006-02-10,1089
2006-02-11,1336
2006-02-12,1283
2006-02-13,978
2006-02-14,1061
2006-02-15,168
2006-02-16,474
2006-02-17,340
2006-02-18,93
2006-02-19,610
2006-02-20,557
2006-02-21,1079
2006-02-22,1216
2006-02-23,1615
2006-02-24,542
2006-02-25,736
2006-02-26,924
2006-02-27,1596
2006-02-28,1739
2006-03-01,1364
2006-03-02,405
2006-03-03,397
2006-03-04,335
2006-03-05,1297
2006-03-06,589
2006-03-07,328
2006-03-08,286
2006-03-09,1366
2006-03-10,638
2006-03-11,518
2006-03-12,1601
2006-03-13,1791
2006-03-14,1919
2006-03-15,1814
2006-03-16,1072
2006-03-17,325
2006-03-18,593
2006-03-19,470
2006-03-20,347
2006-03-21,1016
2006-03-22,423
2006-03-23,188
2006-03-24,814
2006-03-25,216
2006-03-26,750
2006-03-27,578
2006-03-28,1504
2006-03-29,258
2006-03-30,590
2006-03-31,1237
2006-04-01,995
2006-04-02,1995
2006-04-03,2197
2006-04-04,1393
2006-04-05,713
2006-04-06,1096
2006-04-07,1038
2006-04-08,959
2006-04-09,1660
2006-04-10,2506
2006-04-11,2513
2006-04-12,2313
2006-04-13,2478
2006-04-14,1323
2006-04-15,844
2006-04-16,1163
2006-04-17,1779
2006-04-18,2069
