Instante_lectura|Irradiacion_global_diaria
01/01/2006|477
02/01/2006|195
03/01/2006|725
04/01/2006|870
05/01/2006|392
06/01/2006|679
07/01/2006|360
08/01/2006|783
09/01/2006|854
10/01/2006|929
11/01/2006|673
12/01/2006|-9999
13/01/2006|121
14/01/2006|859
15/01/2006|326
16/01/2006|236
17/01/2006|107
18/01/2006|577
19/01/2006|992
20/01/2006|556
21/01/2006|851
22/01/2006|990
23/01/2006|1008
24/01/2006|873
25/01/2006|583
26/01/2006|912
27/01/2006|1082
28/01/2006|-9999
29/01/2006|1087
30/01/2006|1213
31/01/2006|1220
01/02/2006|963
02/02/2006|847
03/02/2006|1167
04/02/2006|1239
05/02/2006|1265
06/02/2006|-9999
07/02/2006|-9999
08/02/2006|1166
09/02/2006|1323
10/02/2006|1089
11/02/2006|1336
12/02/2006|1283
13/02/2006|978
14/02/2006|1061
15/02/2006|168
16/02/2006|474
17/02/2006|340
18/02/2006|93
19/02/2006|610
20/02/2006|557
21/02/2006|1079
22/02/2006|1216
23/02/2006|1615
24/02/2006|542
25/02/2006|736
26/02/2006|924
27/02/2006|1596
28/02/2006|1739
01/03/2006|1364
02/03/2006|405
03/03/2006|397
04/03/2006|335
05/03/2006|1297
06/03/2006|589
07/03/2006|328
08/03/2006|286
09/03/2006|1366
10/03/2006|638
11/03/2006|518
12/03/2006|1601
13/03/2006|1791
14/03/2006|1919
15/03/2006|1814
16/03/2006|1072
17/03/2006|325
18/03/2006|593
19/03/2006|470
20/03/2006|347
21/03/2006|1016
22/03/2006|423
23/03/2006|188
24/03/2006|814
25/03/2006|216
26/03/2006|750
27/03/2006|578
28/03/2006|1504
29/03/2006|258
30/03/2006|590
31/03/2006|1237
01/04/2006|995
02/04/2006|1995
03/04/2006|2197
04/04/2006|1393
05/04/2006|713
06/04/2006|1096
07/04/2006|1038
08/04/2006|959
09/04/2006|1660
10/04/2006|2506
11/04/2006|2513
12/04/2006|2313
13/04/2006|2478
14/04/2006|1323
15/04/2006|844
16/04/2006|1163
17/04/2006|1779
18/04/2006|2069
19/04/2006|1818
20/04/2006|417
21/04/2006|1033
22/04/2006|2542
23/04/2006|2243
24/04/2006|2157
25/04/2006|2597
26/04/2006|2669
27/04/2006|2104
28/04/2006|2725
29/04/2006|2732
30/04/2006|2682
01/05/2006|2648
02/05/2006|2540
03/05/2006|1966
04/05/2006|1291
