Fecha|P
01/01/2006|997.6
02/01/2006|1002.8
03/01/2006|1002.9
04/01/2006|997.1
05/01/2006|986.7
06/01/2006|982.3
07/01/2006|988
08/01/2006|990.4
09/01/2006|998.2
10/01/2006|999
11/01/2006|-9999
12/01/2006|-9999
13/01/2006|-9999
14/01/2006|994.2
15/01/2006|985.2
16/01/2006|-9999
17/01/2006|-9999
18/01/2006|997.4
19/01/2006|993.8
20/01/2006|-9999
21/01/2006|997.5
22/01/2006|996.2
23/01/2006|996
24/01/2006|992.3
25/01/2006|987
26/01/2006|983.6
27/01/2006|986
28/01/2006|-9999
29/01/2006|985.3
30/01/2006|991.8
31/01/2006|994.1
01/02/2006|992.6
02/02/2006|986.4
03/02/2006|986.4
04/02/2006|991.3
05/02/2006|995.2
06/02/2006|-9999
07/02/2006|-9999
08/02/2006|-9999
09/02/2006|984.1
10/02/2006|983.6
11/02/2006|988.1
12/02/2006|991.2
13/02/2006|989.8
14/02/2006|991.5
15/02/2006|986.2
16/02/2006|979.1
17/02/2006|974.7
18/02/2006|969.4
19/02/2006|973.9
20/02/2006|979.9
21/02/2006|983.6
22/02/2006|985
23/02/2006|986.3
24/02/2006|979.5
25/02/2006|971.4
26/02/2006|977
27/02/2006|983.1
28/02/2006|983.6
01/03/2006|983.6
02/03/2006|982.3
03/03/2006|977.8
04/03/2006|968.7
05/03/2006|990.4
06/03/2006|995.9
07/03/2006|996.7
08/03/2006|993.1
09/03/2006|990.2
10/03/2006|994.7
11/03/2006|995.6
12/03/2006|991.4
13/03/2006|985.4
14/03/2006|983.6
15/03/2006|982.1
16/03/2006|980.2
17/03/2006|969.8
18/03/2006|965.3
19/03/2006|965.6
20/03/2006|968.5
21/03/2006|974.3
22/03/2006|978.2
23/03/2006|967.4
24/03/2006|973.8
25/03/2006|982.1
26/03/2006|977.5
27/03/2006|982.4
28/03/2006|986.8
29/03/2006|983.3
30/03/2006|983.6
31/03/2006|985.7
01/04/2006|985.9
02/04/2006|990
03/04/2006|985.2
04/04/2006|973.8
05/04/2006|971.8
06/04/2006|975.1
07/04/2006|982.4
08/04/2006|981.7
09/04/2006|977.8
10/04/2006|986.1
11/04/2006|988.8
12/04/2006|989.2
13/04/2006|986.8
14/04/2006|977.8
15/04/2006|980.3
16/04/2006|986.1
17/04/2006|988.6
18/04/2006|986.6
19/04/2006|985.2
20/04/2006|981.4
21/04/2006|975.1
22/04/2006|981.6
23/04/2006|982.7
24/04/2006|982.7
25/04/2006|987
26/04/2006|989.5
27/04/2006|990.3
28/04/2006|988.4
29/04/2006|985
30/04/2006|980.9
01/05/2006|978.7
02/05/2006|977.8
03/05/2006|979
04/05/2006|983.7
05/05/2006|989.4
06/05/2006|989.8
07/05/2006|985.7
08/05/2006|987.3
09/05/2006|985.9
10/05/2006|981.2
11/05/2006|980.6
12/05/2006|986.1
13/05/2006|988.7
14/05/2006|985.3
15/05/2006|985.1
16/05/2006|985.8
17/05/2006|985.8
18/05/2006|991.7
19/05/2006|991.6
20/05/2006|983.8
21/05/2006|975.4
22/05/2006|983.1
23/05/2006|992.7
24/05/2006|995.9
25/05/2006|996.5
26/05/2006|994.4
27/05/2006|993.1
28/05/2006|990.5
29/05/2006|987.1
30/05/2006|984.2
31/05/2006|985.7
01/06/2006|988.9
02/06/2006|992.4
03/06/2006|991.2
04/06/2006|989.2
05/06/2006|985.8
06/06/2006|984.5
07/06/2006|985.3
08/06/2006|984.6
09/06/2006|983
10/06/2006|986.2
11/06/2006|987.8
12/06/2006|988.3
13/06/2006|986.3
14/06/2006|983.1
15/06/2006|984.1
16/06/2006|985.5
17/06/2006|987.2
18/06/2006|986.7
19/06/2006|988.5
20/06/2006|989.7
21/06/2006|989.6
22/06/2006|988
23/06/2006|985.4
24/06/2006|985.9
25/06/2006|987
26/06/2006|988.6
27/06/2006|-9999
28/06/2006|-9999
29/06/2006|991
30/06/2006|988.6
01/07/2006|988.4
02/07/2006|987.2
03/07/2006|986.9
04/07/2006|987.1
05/07/2006|991.4
06/07/2006|994.4
07/07/2006|992.1
08/07/2006|989
09/07/2006|990.5
10/07/2006|991.3
11/07/2006|993.4
12/07/2006|989.9
13/07/2006|987.7
14/07/2006|986.3
15/07/2006|986.6
16/07/2006|-9999
17/07/2006|985.7
18/07/2006|985.6
19/07/2006|985.9
20/07/2006|989.5
21/07/2006|990
22/07/2006|991.3
23/07/2006|988.9
24/07/2006|987.7
25/07/2006|988.1
26/07/2006|987.4
27/07/2006|989.6
28/07/2006|987.5
29/07/2006|984.4
30/07/2006|986.6
31/07/2006|989.5
01/08/2006|990
02/08/2006|988.2
03/08/2006|986.7
04/08/2006|987.6
05/08/2006|987.1
06/08/2006|988.3
07/08/2006|987.5
08/08/2006|985.6
09/08/2006|985.6
10/08/2006|985.7
11/08/2006|985.7
12/08/2006|986.3
13/08/2006|985
14/08/2006|983.3
15/08/2006|982
16/08/2006|974.5
17/08/2006|974.3
18/08/2006|980
19/08/2006|989.3
20/08/2006|995.7
21/08/2006|992.5
22/08/2006|987
23/08/2006|987.6
24/08/2006|989.9
25/08/2006|990.1
26/08/2006|991.4
27/08/2006|991.8
28/08/2006|991.9
29/08/2006|991.8
30/08/2006|989.7
31/08/2006|987.6
01/09/2006|989.1
02/09/2006|989.1
03/09/2006|991.5
04/09/2006|992
05/09/2006|987.9
06/09/2006|984.4
07/09/2006|984.4
08/09/2006|985.9
09/09/2006|987.8
10/09/2006|989.6
11/09/2006|987.8
12/09/2006|985.1
13/09/2006|979.7
14/09/2006|983.4
15/09/2006|987.6
16/09/2006|989.2
17/09/2006|988.8
18/09/2006|990.1
19/09/2006|987.1
20/09/2006|979.8
21/09/2006|970.4
22/09/2006|975.5
23/09/2006|973.8
24/09/2006|977
25/09/2006|988.5
26/09/2006|989
27/09/2006|984.8
28/09/2006|981.9
29/09/2006|981.7
30/09/2006|979.4
01/10/2006|984
02/10/2006|979.9
03/10/2006|986.2
04/10/2006|990.8
05/10/2006|996
06/10/2006|991
07/10/2006|988.8
08/10/2006|984.7
09/10/2006|985.1
10/10/2006|981.2
11/10/2006|986.2
12/10/2006|992.7
13/10/2006|990.2
14/10/2006|986.9
15/10/2006|980
16/10/2006|974.8
17/10/2006|972.5
18/10/2006|965.2
19/10/2006|967.9
20/10/2006|970.8
21/10/2006|975.1
22/10/2006|967.5
23/10/2006|969.9
24/10/2006|971.5
25/10/2006|962.7
26/10/2006|974.2
27/10/2006|990.3
28/10/2006|994
29/10/2006|990
30/10/2006|983.7
31/10/2006|986.5
01/11/2006|987.9
02/11/2006|985.7
03/11/2006|983.6
04/11/2006|986.9
05/11/2006|989.8
06/11/2006|989.1
07/11/2006|987.3
08/11/2006|991.9
09/11/2006|995
10/11/2006|997.2
11/11/2006|999
12/11/2006|997.4
13/11/2006|992.2
14/11/2006|986.1
