"Fecha","P"
2006-01-01,997.6
2006-01-02,1002.8
2006-01-03,1002.9
2006-01-04,997.1
2006-01-05,986.7
2006-01-06,982.3
2006-01-07,988
2006-01-08,990.4
2006-01-09,998.2
2006-01-10,999
2006-01-14,994.2
2006-01-15,985.2
2006-01-18,997.4
2006-01-19,993.8
2006-01-21,997.5
2006-01-22,996.2
2006-01-23,996
2006-01-24,992.3
2006-01-25,987
2006-01-26,983.6
2006-01-27,986
2006-01-29,985.3
2006-01-30,991.8
2006-01-31,994.1
2006-02-01,992.6
2006-02-02,986.4
2006-02-03,986.4
2006-02-04,991.3
2006-02-05,995.2
2006-02-09,984.1
2006-02-10,983.6
2006-02-11,988.1
2006-02-12,991.2
2006-02-13,989.8
2006-02-14,991.5
2006-02-15,986.2
2006-02-16,979.1
2006-02-17,974.7
2006-02-18,969.4
2006-02-19,973.9
2006-02-20,979.9
2006-02-21,983.6
2006-02-22,985
2006-02-23,986.3
2006-02-24,979.5
2006-02-25,971.4
2006-02-26,977
2006-02-27,983.1
2006-02-28,983.6
2006-03-01,983.6
2006-03-02,982.3
2006-03-03,977.8
2006-03-04,968.7
2006-03-05,990.4
2006-03-06,995.9
2006-03-07,996.7
2006-03-08,993.1
2006-03-09,990.2
2006-03-10,994.7
2006-03-11,995.6
2006-03-12,991.4
2006-03-13,985.4
2006-03-14,983.6
2006-03-15,982.1
2006-03-16,980.2
2006-03-17,969.8
2006-03-18,965.3
2006-03-19,965.6
2006-03-20,968.5
2006-03-21,974.3
2006-03-22,978.2
2006-03-23,967.4
2006-03-24,973.8
2006-03-25,982.1
2006-03-26,977.5
2006-03-27,982.4
2006-03-28,986.8
2006-03-29,983.3
2006-03-30,983.6
2006-03-31,985.7
2006-04-01,985.9
2006-04-02,990
2006-04-03,985.2
2006-04-04,973.8
2006-04-05,971.8
2006-04-06,975.1
2006-04-07,982.4
2006-04-08,981.7
2006-04-09,977.8
2006-04-10,986.1
2006-04-11,988.8
2006-04-12,989.2
2006-04-13,986.8
2006-04-14,977.8
2006-04-15,980.3
2006-04-16,986.1
2006-04-17,988.6
2006-04-18,986.6
2006-04-19,985.2
2006-04-20,981.4
2006-04-21,975.1
2006-04-22,981.6
2006-04-23,982.7
2006-04-24,982.7
2006-04-25,987
2006-04-26,989.5
2006-04-27,990.3
2006-04-28,988.4
2006-04-29,985
2006-04-30,980.9
2006-05-01,978.7
2006-05-02,977.8
2006-05-03,979
2006-05-04,983.7
2006-05-05,989.4
2006-05-06,989.8
2006-05-07,985.7
2006-05-08,987.3
2006-05-09,985.9
2006-05-10,981.2
2006-05-11,980.6
2006-05-12,986.1
2006-05-13,988.7
2006-05-14,985.3
2006-05-15,985.1
2006-05-16,985.8
2006-05-17,985.8
2006-05-18,991.7
2006-05-19,991.6
2006-05-20,983.8
2006-05-21,975.4
2006-05-22,983.1
2006-05-23,992.7
2006-05-24,995.9
2006-05-25,996.5
2006-05-26,994.4
2006-05-27,993.1
2006-05-28,990.5
2006-05-29,987.1
2006-05-30,984.2
2006-05-31,985.7
2006-06-01,988.9
2006-06-02,992.4
2006-06-03,991.2
2006-06-04,989.2
2006-06-05,985.8
2006-06-06,984.5
2006-06-07,985.3
2006-06-08,984.6
2006-06-09,983
2006-06-10,986.2
2006-06-11,987.8
2006-06-12,988.3
2006-06-13,986.3
2006-06-14,983.1
2006-06-15,984.1
2006-06-16,985.5
2006-06-17,987.2
2006-06-18,986.7
2006-06-19,988.5
