Fecha|TM
01/01/2006|11.1
02/01/2006|11.6
03/01/2006|13.6
04/01/2006|14.3
05/01/2006|11.6
06/01/2006|10.9
07/01/2006|8.4
08/01/2006|12.1
09/01/2006|10.8
10/01/2006|12.8
11/01/2006|12
12/01/2006|12.6
13/01/2006|11.4
14/01/2006|10.3
15/01/2006|10.4
16/01/2006|9.3
17/01/2006|10.2
18/01/2006|14.3
19/01/2006|16.5
20/01/2006|13.9
21/01/2006|13.3
22/01/2006|14.2
23/01/2006|12.7
24/01/2006|13.1
25/01/2006|14.6
26/01/2006|12.4
27/01/2006|8.2
28/01/2006|5.9
29/01/2006|8.4
30/01/2006|12.8
31/01/2006|12.9
01/02/2006|12.2
02/02/2006|14.9
03/02/2006|14.3
04/02/2006|12.4
05/02/2006|14.1
06/02/2006|16.3
07/02/2006|18.3
08/02/2006|16.9
09/02/2006|14.6
10/02/2006|14.6
11/02/2006|12
12/02/2006|14.9
13/02/2006|10.2
14/02/2006|12.8
15/02/2006|11.2
16/02/2006|10.5
17/02/2006|10.2
18/02/2006|8.8
19/02/2006|8.7
20/02/2006|7.3
21/02/2006|5.9
22/02/2006|7.1
23/02/2006|9.8
24/02/2006|4.8
25/02/2006|6.4
26/02/2006|7
27/02/2006|11.3
28/02/2006|9.9
01/03/2006|10.2
02/03/2006|8.8
03/03/2006|10.8
04/03/2006|11.4
05/03/2006|9.1
06/03/2006|9.4
07/03/2006|13.6
08/03/2006|11.8
09/03/2006|13.9
10/03/2006|11.8
11/03/2006|14.7
12/03/2006|21.3
13/03/2006|22.3
14/03/2006|24.2
15/03/2006|22
16/03/2006|16.4
17/03/2006|12.4
18/03/2006|15.2
19/03/2006|11.7
20/03/2006|11.2
21/03/2006|13.8
22/03/2006|11.5
23/03/2006|13.9
24/03/2006|13.4
25/03/2006|14.4
26/03/2006|17.6
27/03/2006|13.1
28/03/2006|13.1
29/03/2006|13.5
30/03/2006|14.2
31/03/2006|14.1
01/04/2006|14.2
02/04/2006|16.4
03/04/2006|24.5
04/04/2006|18
05/04/2006|16
06/04/2006|16.5
07/04/2006|16
08/04/2006|15.3
09/04/2006|18.6
10/04/2006|14.4
11/04/2006|18.4
12/04/2006|16.6
13/04/2006|24
14/04/2006|23
