Time;Time Code;Country Name;Country Code;"Adolescent fertility rate (births per 1;000 women ages 15-19) [SP.ADO.TFRT]";"Life expectancy at birth; total (years) [SP.DYN.LE00.IN]";"Mortality rate; neonatal (per 1;000 live births) [SH.DYN.NMRT]";GDP per capita (current US$) [NY.GDP.PCAP.CD];CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC];"Current health expenditure per capita; PPP (current international $) [SH.XPD.CHEX.PP.CD]";Electric power consumption (kWh per capita) [EG.USE.ELEC.KH.PC];"Out-of-pocket expenditure per capita; PPP (current international $) [SH.XPD.OOPC.PP.CD]";Adjusted net national income per capita (current US$) [NY.ADJ.NNTY.PC.CD]
2000;YR2000;Afghanistan;AFG;153.951;55.841;60.9;;0.036573704;;;;
2000;YR2000;Albania;ALB;19.0372;73.955;12.1;1126.68334;1.026213109;275.7971802;1449.647413;166.5878859;1037.505398
2000;YR2000;Algeria;DZA;11.7556;70.64;21.1;1765.027146;2.578744484;294.7033081;683.2948063;76.01728371;1280.127582
2000;YR2000;American Samoa;ASM;;;;;;;;;
2000;YR2000;Andorra;AND;;;3.8;21854.2468;7.952286282;1936.802124;;300.5380845;
2000;YR2000;Angola;AGO;196.6992;46.522;50.3;556.8361822;0.988077383;62.69586563;75.26465988;17.11891028;208.1982922
2000;YR2000;Antigua and Barbuda;ATG;61.9748;73.94;9.7;10872.29295;4.341705369;794.0597534;;176.4740674;
2000;YR2000;Argentina;ARG;66.3552;73.576;11;7708.099115;3.587392038;1067.828613;2088.80763;310.7843842;6445.735024
2000;YR2000;Armenia;ARM;39.3926;71.409;16.1;622.7409229;1.159761363;111.5393143;1297.564469;69.16658908;541.715996
2000;YR2000;Aruba;ABW;43.593;73.787;;20614.79935;;;;;18246.2205
2000;YR2000;Australia;AUS;17.9326;79.23414634;3.5;21697.70848;17.7230721;2155.341553;10193.91218;452.5600674;17064.03991
2000;YR2000;Austria;AUT;13.9232;78.12682927;3.1;24625.60072;7.929785513;2708.029541;7076.269483;482.6309608;20326.24414
2000;YR2000;Azerbaijan;AZE;36.5066;66.763;34.3;655.1199452;3.440349875;100.5924988;2040.47909;69.01441504;391.5709534
2000;YR2000;Bahamas, The;BHS;51.222;71.914;8;27098.15632;7.48209163;1054.583252;;287.1315292;24838.26895
2000;YR2000;Bahrain;BHR;17.583;74.44;4.7;13636.41675;23.8937121;1502.387329;20014.74549;387.4988156;9334.246675
2000;YR2000;Bangladesh;BGD;112.2538;65.447;44;418.0689421;0.169593942;28.25704193;104.6077366;17.26373137;398.0077241
2000;YR2000;Barbados;BRB;51.1212;77.162;9.3;11268.42006;4.567034116;677.4110718;;266.7289339;9864.333547
2000;YR2000;Belarus;BLR;27.783;68.91219512;6;1276.288034;5.304816521;320.8687134;2996.309475;51.42999359;1091.516572
2000;YR2000;Belgium;BEL;10.6408;77.72195122;3;23098.88651;11.43958054;2226.144287;8247.677113;450.2873186;19774.62329
2000;YR2000;Belize;BLZ;97.2162;68.847;12;3364.491731;1.819578666;219.2567139;;81.79722149;2651.809204
2000;YR2000;Benin;BEN;118.5246;55.391;39;512.673902;0.206817822;54.59894562;58.11289515;28.59346514;409.3053894
2000;YR2000;Bermuda;BMU;;77.88536585;;56284.16865;;;;;
2000;YR2000;Bhutan;BTN;77.1602;60.884;31.8;718.196337;0.355321532;115.9899674;;13.38680179;636.905736
2000;YR2000;Bolivia;BOL;86.5276;62.452;29.6;997.5817508;0.975259762;151.1005096;415.8811727;50.62970348;862.3586257
2000;YR2000;Bosnia and Herzegovina;BIH;21.4168;74.403;6.9;1484.176057;3.721499604;351.1878357;2030.296632;138.695097;1487.779123
2000;YR2000;Botswana;BWA;59.1762;50.629;16.6;3522.310821;2.452333155;511.8795471;1155.578328;56.21947222;2866.593176
2000;YR2000;Brazil;BRA;82.21;70.116;18.5;3749.910848;1.794549984;755.1784058;1897.353148;276.3365486;3211.677792
2000;YR2000;British Virgin Islands;VGB;;;;;;;;;
2000;YR2000;Brunei Darussalam;BRN;27.4754;72.809;5;18012.50219;14.16711189;1875.741455;7545.787986;296.9544962;12540.55177
2000;YR2000;Bulgaria;BGR;44.808;71.66341463;7.9;1621.242961;5.3144536;373.5981445;3673.606871;150.8428743;1373.518768
2000;YR2000;Burkina Faso;BFA;139.304;50.489;40.7;255.7186873;0.080978977;27.19965553;;11.46739689;239.2911061
2000;YR2000;Burundi;BDI;76.266;49.091;36.6;136.4639708;0.040759564;32.55393982;;13.60329355;95.8285939
2000;YR2000;Cabo Verde;CPV;96.512;68.583;18.1;1259.353067;0.513805006;136.9589691;;34.59472475;1072.328163
2000;YR2000;Cambodia;KHM;49.5172;58.432;35.2;300.613679;0.161247317;70.34794617;32.74307766;48.31669533;269.9077378
2000;YR2000;Cameroon;CMR;154.7712;50.993;35.6;681.102043;0.335826918;83.44686127;175.2616872;64.69634262;528.3633596
2000;YR2000;Canada;CAN;16.8338;79.13658537;3.8;24271.00206;16.75762643;2429.605713;17037.07228;403.4411423;19237.60666
2000;YR2000;Cayman Islands;CYM;;;;;;;;;
2000;YR2000;Central African Republic;CAF;149.054;44.19;49;251.832764;0.065926441;27.27721214;;12.83117074;225.7184969
2000;YR2000;Chad;TCD;212.41;47.713;44.1;166.1757089;0.034707038;45.39679337;;25.52037901;139.8477854
2000;YR2000;Channel Islands;CHI;13.656;79.037;;43380.80298;;;;;
2000;YR2000;Chile;CHL;60.3632;76.366;5.7;5100.254133;3.286328366;672.1102905;2499.291178;287.763786;4085.023796
2000;YR2000;China;CHN;9.911;71.397;21.4;959.3724836;2.650412428;128.2019196;992.9433847;77.08183485;800.5824126
2000;YR2000;Colombia;COL;97.6814;72.945;13.5;2520.481089;1.472118383;373.7016907;845.5975169;51.16362162;2008.244487
2000;YR2000;Comoros;COM;94.8934;59.46;40.8;647.4258118;0.184380059;130.8059845;;104.3684107;592.4764284
2000;YR2000;Congo, Dem. Rep.;COD;125.4476;50.041;38.4;405.2162186;0.034602936;6.93158865;96.56978765;3.54082913;313.2064926
2000;YR2000;Congo, Rep.;COG;122.1396;52.123;30.7;1032.137576;1.390922869;57.38006973;95.60596274;30.23914124;61.68120043
2000;YR2000;Costa Rica;CRI;74.9312;77.452;7.7;3789.053886;1.249252657;516.6998291;1506.926791;163.1473138;3392.854693
2000;YR2000;Cote d'Ivoire;CIV;137.767;49.635;45.8;1007.46739;0.394417144;194.0613251;173.9932639;141.7912533;539.4569133
2000;YR2000;Croatia;HRV;16.773;72.80780488;5.5;4887.713716;4.037327826;811.4234009;2828.815062;112.4734429;3987.99197
2000;YR2000;Cuba;CUB;52.9062;76.699;4.3;2747.100303;2.547988693;547.9127808;1137.921864;88.9228566;2365.639752
2000;YR2000;Curacao;CUW;41.2672;;;;;;7291.199761;;
2000;YR2000;Cyprus;CYP;9.5572;78.009;3.7;14388.34766;7.55866713;1136.260742;3373.306986;635.1914261;11346.93066
2000;YR2000;Czechia;CZE;13.4416;74.96829268;2.7;6029.038193;12.01065269;923.9169922;5703.816739;94.21649731;4584.278364
2000;YR2000;Denmark;DNK;7.1736;76.59268293;3.5;30743.54768;9.850895645;2327.757813;6482.488628;357.4605656;24600.59382
2000;YR2000;Djibouti;DJI;33.099;57.022;43.9;768.1835703;0.515624107;70.82596588;;36.35671475;760.4543222
2000;YR2000;Dominica;DMA;;;12.9;4787.801441;1.866475233;346.7678528;;114.5188834;3976.409532
2000;YR2000;Dominican Republic;DOM;107.8534;69.429;23.3;2869.178139;2.20390761;324.2450562;1327.774654;179.3728287;2664.146119
2000;YR2000;Ecuador;ECU;84.1908;72.761;14.1;1445.279324;1.738804994;194.5037231;634.8806805;123.6717899;1001.722832
2000;YR2000;Egypt, Arab Rep.;EGY;55.6848;68.602;22.4;1450.476242;1.665079192;299.894104;976.9646224;187.4018728;1271.98599
2000;YR2000;El Salvador;SLV;91.262;68.875;15;2001.540049;0.956193433;396.9402771;614.9869309;205.1561701;1835.698166
2000;YR2000;Equatorial Guinea;GNQ;183.0362;53.279;44.3;1725.557584;3.662278531;182.898346;;142.9049135;
2000;YR2000;Eritrea;ERI;88.595;55.273;27;308.1341868;0.279181805;72.85005951;75.03011019;46.45501569;262.6356804
2000;YR2000;Estonia;EST;26.2586;70.41707317;5.3;4070.609024;10.68014331;485.2248535;4540.492561;98.81418487;3406.052036
2000;YR2000;Eswatini;SWZ;108.631;47.49;25.3;1728.710498;0.68627217;217.6580353;;40.32154274;1515.841634
2000;YR2000;Ethiopia;ETH;110.6438;51.941;48.6;124.4607909;0.053756289;21.06814003;22.75582252;7.57553407;93.31807736
2000;YR2000;Faroe Islands;FRO;;78.43658537;;22856.73883;;;;;
2000;YR2000;Fiji;FJI;42.88;65.687;10.1;2069.317455;0.998753408;216.5006561;;23.46275421;1849.125872
2000;YR2000;Finland;FIN;10.1402;77.46585366;2.5;24345.91482;10.64485611;1896.237793;15305.40981;410.1005381;20023.60312
2000;YR2000;France;FRA;7.6438;79.05609756;2.8;22419.69482;6.125507901;2516.921631;7224.526985;183.0682091;19226.02619
2000;YR2000;French Polynesia;PYF;47.4068;72.303;;14350.61586;;;;;
2000;YR2000;Gabon;GAB;138.5048;58.264;26.9;4135.99238;4.949693046;402.4527893;880.0358853;213.8234797;1739.248258
2000;YR2000;Gambia, The;GMB;123.7992;55.956;40.6;594.1493885;0.182134433;219.901886;;28.66757012;471.5840861
2000;YR2000;Georgia;GEO;53.2282;69.902;22.8;749.908535;1.169940333;214.6307831;1574.391404;173.8173125;653.3160564
2000;YR2000;Germany;DEU;12.6676;77.92682927;2.8;23694.76048;10.09931602;2692.238037;6635.421406;330.8383772;19480.13219
2000;YR2000;Ghana;GHA;83.9638;57.002;35.8;258.4710399;0.297735601;71.00151825;326.1605334;37.35392677;191.4178935
2000;YR2000;Gibraltar;GIB;;;;;;;3893.053634;;
2000;YR2000;Greece;GRC;11.0336;77.88780488;3.9;12072.92936;8.741595261;1418.197266;4586.32987;514.4101227;
2000;YR2000;Greenland;GRL;;66.22243902;;19004.10729;;;;;
2000;YR2000;Grenada;GRD;55.2782;72.648;8;5056.977259;2.042066571;409.4651184;;242.8231757;
2000;YR2000;Guam;GUM;62.3426;75.011;;;;;;;
2000;YR2000;Guatemala;GTM;111.514;67.849;21.3;1664.298958;0.81278639;273.9997253;332.1897665;161.6324151;1490.61916
2000;YR2000;Guinea;GIN;168.9176;51.203;45.5;363.4822793;0.180809115;53.71787262;;35.08255222;307.3844404
2000;YR2000;Guinea-Bissau;GNB;130.187;50.368;55.3;308.9103184;0.12486421;76.28691101;;28.76556076;245.7436009
2000;YR2000;Guyana;GUY;97.1796;65.242;27;954.4003181;2.22306145;160.9660645;;64.7884917;764.819517
2000;YR2000;Haiti;HTI;68.519;57.131;29.8;805.0256325;0.173680812;82.9757843;35.79951421;36.81920734;794.0119562
2000;YR2000;Honduras;HND;116.1338;70.689;17.7;1093.1081;0.758991925;162.4290466;488.401417;74.6342308;976.4104203
2000;YR2000;Hong Kong SAR, China;HKG;4.3656;80.87804878;;25756.66378;;;5446.661665;;
2000;YR2000;Hungary;HUN;22.8472;71.24634146;5.8;4624.281657;5.350127818;802.9237671;3309.283711;219.7093769;3455.932595
2000;YR2000;Iceland;ISL;19.7576;79.65365854;2.1;32096.37226;7.930157714;2667.52124;26201.52558;518.2211844;
2000;YR2000;India;IND;66.837;62.505;44.7;443.3141938;0.887641212;86.04083252;393.6462478;61.69302148;386.7744943
2000;YR2000;Indonesia;IDN;50.3512;65.772;22.8;780.1902047;1.326863641;95.60730743;390.4236575;43.20974397;634.2520842
2000;YR2000;Iran, Islamic Rep.;IRN;37.3756;70.176;19.5;1670.009674;5.187936248;499.147644;1546.506347;297.4927927;1229.361255
2000;YR2000;Iraq;IRQ;63.8182;69.082;23.9;2058.264401;3.729318782;;1240.978383;;1658.644214
2000;YR2000;Ireland;IRL;18.5508;76.53658537;4;26334.56721;11.17688705;1795.642944;5796.055581;217.5796635;19882.73318
2000;YR2000;Isle of Man;IMN;;;;20322.68202;;;;;
